,0
320,"Charging system linked to the use of community heating, programmer and TRVs"
321,"Programmer, room thermostat and TRVs"
322,Programmer and room thermostat
323,"Programmer, no room thermostat"
324,Time and temperature zone control
325,No time or thermostatic control of room temperature
326,Manual charge control
327,None
328,Appliance thermostats
329,"Flat rate charging, TRVs"
330,"Flat rate charging, no stat control of room temperature"
331,Programmer and appliance thermostats
332,"Flat rate charging, no thermostatic control of room temperature"
333,"Charging system linked to use of community heating, programmer and TRVs"
334,"Programmer, TRVs and boiler energy manager"
335,"Flat rate charging, programmer, no room thermostat"
336,"Programmer, TRVs and bypass"
337,Automatic charge control
338,Programmer and at least two room thermostats
339,Room thermostat only
340,"Flat rate charging, room thermostat only"
341,"Flat rate charging, programmer no room thermostat"
342,SAP05:Main-Heating-Controls
343,No thermostatic control of room temperature
344,TRVs and bypass
345,"Charging system linked to use of community heating, room thermostat only"
346,"Unit charging, programmer and TRVs"
347,Programmer and at least 2 room thermostats
348,"Flat rate charging, programmer and TRVs"
349,"Flat rate charging, programmer and room thermostat"
350,Not relevant (supplies DHW only)
351,"Programmer, TRVs and flow switch"
352,"Charging system linked to use of community heating, TRVs"
353,"Charging system linked to use of community heating, programmer and room thermostat"
354,Programmer and room thermostats
355,Programmer and at least two room thermostats including a delayed start thermostat
356,"Charging system linked to the use of community heating, prog and TRVs"
357,"Charging system linked to use of community heating, programmer and at least two room thermostats"
358,Celect-type controls
359,Room thermostats only
360,Controls for high heat retention storage heaters
361,"Flat rate charging, programmer and at least two room thermostats"
362,No time or thermostatic control of room temp
363,"Charging system linked to the use of community heating, programmer and TRVs"
364,
365,"System dalu wediGÇÖi chysylltu +ó defnyddio gwres cymunedol, rhaglennydd a TRVs"
366,Rheolyddion i wresogyddion storio sy’n cadw llawer o wres
367,"T+ól un gyfradd, rhaglennydd a thermostat ystafell"
368,"Rhaglennydd, TRVs a rheolydd ynni ar y bwyler"
369,Rhaglennydd a thermostatau ystafell
370,"Tal un gyfradd, thermostat ystafell yn unig"
371,"Tâl un gyfradd, rhaglennydd a thermostat ystafell"
372,Rheolyddion i wresogyddion storio syGÇÖn cadw llawer o wres
373,Thermostatau ar y cyfarpar
374,"T+ól un gyfradd, rhaglennydd a TRVs"
375,"System dalu wedi’i chysylltu â defnyddio gwres cymunedol, rhaglennydd a thermostat ystafell"
